"","algorithm","dataset","duationSS","durationLOF","AUC_sum","Rprecision_adj_sum","numberRemainingSpaces_sum","AUC_removedRedundant_sum","AUC_max","Rprecision_adj_max","numberRemainingSpaces_max","AUC_removedRedundant_max","totalNumberSubspaces","numberMaxScoreSubspaces","minPts","subsp1","subsp2","subsp3","subsp4","subsp5"
"1","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.801386538534616,0.0959909044942671,7,0.928185838250817,0.666543912411925,0,5,0.903746050674119,57,57,10,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"2","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.92322305909449,0.173162412647196,7,0.976320119714626,0.845982867013298,0.0188193963413387,3,0.969831680534974,57,57,20,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"3","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.95731366927081,0.217260417306012,5,0.984532963901481,0.904732468792653,0.0629174010001549,3,0.976542246461317,57,57,30,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"4","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.969150686693146,0.250333920800124,9,0.987204330302472,0.928681239350338,0.084966403329563,3,0.978377714841866,57,57,40,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"5","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.975566057864018,0.305456426623644,7,0.989820165016791,0.954852738735106,0.272382923129532,2,0.978553078062938,57,57,50,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"6","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.978669986876986,0.382627934776573,6,0.990816812656548,0.96237874363943,0.29443192545894,2,0.985818960856006,57,57,60,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"7","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.980093351688017,0.448774941764797,8,0.990305336595089,0.96839954756289,0.327505428953052,1,0.988653999596666,57,57,70,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"8","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.980698354800714,0.525946449917725,3,0.992038509763347,0.967959678150035,0.338529930117756,7,0.986931055949637,57,57,80,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"9","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.980882486182839,0.547995452247133,2,0.991942059991758,0.968851107857149,0.393652435941277,6,0.986893060585072,57,57,90,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"10","HiCS","ann_thyroid.csv",0.1400000000001,119.87,0.980984781395131,0.570044454576542,2,0.992322013637413,0.970753798805777,0.437750440600093,4,0.987091805568952,57,56,100,"[4,5,6]","[4,6]","[2,4,5,6]","[3,4,5,6]","[3,4,6]"
"11","CMI","ann_thyroid.csv",16,118.25,0.801386538534616,0.0959909044942671,6,0.927507767129343,0.666543912411925,0,3,0.917918321657069,57,57,10,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"12","CMI","ann_thyroid.csv",16,118.25,0.92322305909449,0.173162412647196,7,0.976320119714626,0.845982867013298,0.0188193963413387,3,0.969831680534974,57,57,20,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"13","CMI","ann_thyroid.csv",16,118.25,0.95731366927081,0.217260417306012,5,0.984962603793107,0.904732468792653,0.0629174010001549,3,0.976542246461317,57,57,30,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"14","CMI","ann_thyroid.csv",16,118.25,0.969150686693146,0.250333920800124,9,0.986888676504543,0.928681239350338,0.084966403329563,2,0.980154728815395,57,57,40,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"15","CMI","ann_thyroid.csv",16,118.25,0.975566057864018,0.305456426623644,8,0.989986760076809,0.954852738735106,0.272382923129532,2,0.978553078062938,57,57,50,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"16","CMI","ann_thyroid.csv",16,118.25,0.978669986876986,0.382627934776573,7,0.990848962580411,0.96237874363943,0.29443192545894,2,0.986140460094639,57,57,60,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"17","CMI","ann_thyroid.csv",16,118.25,0.980093351688017,0.448774941764797,8,0.990460240773703,0.96839954756289,0.327505428953052,2,0.989221007344797,57,57,70,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"18","CMI","ann_thyroid.csv",16,118.25,0.980698354800714,0.525946449917725,8,0.99060053135056,0.967959678150035,0.338529930117756,1,0.989776324211524,57,57,80,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"19","CMI","ann_thyroid.csv",16,118.25,0.980882486182839,0.547995452247133,3,0.992050200644752,0.968851107857149,0.393652435941277,1,0.990001373678565,57,57,90,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"20","CMI","ann_thyroid.csv",16,118.25,0.980984781395131,0.570044454576542,2,0.992322013637413,0.970753798805777,0.437750440600093,4,0.987536059062333,57,56,100,"[1,3,4,5,6]","[1,2,3,4,5,6]","[2,3,4,5,6]","[3,4,5,6]","[1,2,4,5,6]"
"21","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.472237526782983,0,15,0.676339149066421,0.49165136210591,0,60,0.66370523415978,100,90,10,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"22","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.787098255280074,0.0141414141414141,10,0.977456382001836,0.729981634527089,0,13,0.956550352004897,100,90,20,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"23","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.837052341597797,0,7,0.989194980104071,0.818097643097644,0,21,0.97329354147536,100,88,30,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"24","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.868533823079278,0.0141414141414141,7,0.990939700030609,0.831129476584022,0.0141414141414141,14,0.978512396694215,100,82,40,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"25","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.859305172941538,0.0449494949494949,6,0.98613406795225,0.838054790327519,0,20,0.96541169268442,100,81,50,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"26","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.907897153351701,0.383838383838384,7,0.990449954086318,0.898408325681055,0.260606060606061,34,0.965641261095807,100,78,60,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"27","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.902555861646773,0.168181818181818,9,0.991153963881237,0.898974594429142,0,13,0.974456688093053,100,80,70,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"28","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.889041934496482,0,6,0.991138659320478,0.885108662381392,0,13,0.957361493725132,100,82,80,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"29","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.872375267829816,0,9,0.989378634833182,0.861539638812369,0,21,0.937909397000308,100,83,90,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"30","HiCS","segmentnorm.csv",2.92000000000007,119.59,0.857606366697278,0,7,0.9900826446281,0.857973676155497,0,15,0.920339761248854,100,80,100,"[2,3]","[10,11,13]","[12,17]","[10,13,17]","[4,5]"
"31","CMI","segmentnorm.csv",752.38,150.07,0.497229874502603,0.0141414141414141,4,0.639149066421791,0.685430058157331,0.0141414141414141,2,0.8209213345577,100,94,10,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"32","CMI","segmentnorm.csv",752.38,150.07,0.919941842669115,0,4,0.971472298745026,0.924380165289257,0.0141414141414141,7,0.96919191919192,100,93,20,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"33","CMI","segmentnorm.csv",752.38,150.07,0.958539944903582,0.322222222222222,3,0.984113865932048,0.948622589531682,0.137373737373737,37,0.966651362105908,100,90,30,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"34","CMI","segmentnorm.csv",752.38,150.07,0.964340373431284,0.353030303030303,16,0.982583409856138,0.951576369758189,0.445454545454545,15,0.973936333027243,100,91,40,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"35","CMI","segmentnorm.csv",752.38,150.07,0.966681971227427,0.445454545454545,2,0.985169880624426,0.952525252525254,0.445454545454545,33,0.966375880012245,100,87,50,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"36","CMI","segmentnorm.csv",752.38,150.07,0.96629935720845,0.414646464646465,8,0.983425160697888,0.958784817875729,0.445454545454545,40,0.970018365472912,100,89,60,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"37","CMI","segmentnorm.csv",752.38,150.07,0.957744107744109,0.383838383838384,2,0.983593510866239,0.955127027854302,0.445454545454545,23,0.971824303642487,100,86,70,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"38","CMI","segmentnorm.csv",752.38,150.07,0.945867768595042,0.445454545454545,2,0.977563513927151,0.940113253749619,0.445454545454545,24,0.960009182736456,100,80,80,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"39","CMI","segmentnorm.csv",752.38,150.07,0.937251300887665,0.445454545454545,5,0.971808999081726,0.934986225895318,0.445454545454545,10,0.953535353535354,100,79,90,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
"40","CMI","segmentnorm.csv",752.38,150.07,0.93288950107132,0.445454545454545,9,0.959473523109887,0.933119069482707,0.445454545454545,28,0.946969696969698,100,85,100,"[10,11,12,13,14,15,16,17,19]","[10,11,12,13,15,16,17,19]","[10,11,12,13,14,15,16,17]","[10,11,12,13,14,15,17,19]","[2,10,11,12,13,15,16,17]"
