"","algorithm","dataset","duationSS","durationLOF","AUC_sum","Rprecision_adj_sum","numberRemainingSpaces_sum","AUC_removedRedundant_sum","AUC_max","Rprecision_adj_max","numberRemainingSpaces_max","AUC_removedRedundant_max","totalNumberSubspaces","numberMaxScoreSubspaces","minPts"
"1","HiCS","ion.csv",3.84,33.02,0.800176366843034,0.579047619047619,31,0.855978835978838,0.750264550264552,0.405714285714286,18,0.85562610229277,100,83,10
"2","HiCS","ion.csv",3.84,33.02,0.805220458553791,0.554285714285714,17,0.861146384479716,0.708536155202823,0.281904761904762,27,0.853156966490303,100,85,20
"3","HiCS","ion.csv",3.84,33.02,0.674285714285715,0.380952380952381,10,0.821022927689595,0.608959435626103,0.108571428571429,14,0.84289241622575,100,70,30
"4","HiCS","ion.csv",3.84,33.02,0.610299823633157,0.281904761904762,5,0.818730158730159,0.564761904761905,0.0342857142857143,22,0.82458553791887,100,63,40
"5","HiCS","ion.csv",3.84,33.02,0.693192239858906,0.405714285714286,8,0.836754850088185,0.756119929453264,0.418095238095238,23,0.855802469135805,100,62,50
"6","HiCS","ion.csv",3.84,33.02,0.709947089947091,0.455238095238095,10,0.85657848324515,0.758359788359788,0.418095238095238,33,0.862116402116404,100,62,60
"7","HiCS","ion.csv",3.84,33.02,0.727195767195768,0.43047619047619,9,0.867654320987655,0.824585537918871,0.566666666666667,42,0.863597883597886,100,57,70
"8","HiCS","ion.csv",3.84,33.02,0.74268077601411,0.418095238095238,11,0.877495590828925,0.84352733686067,0.566666666666667,44,0.863104056437391,100,61,80
"9","HiCS","ion.csv",3.84,33.02,0.761657848324515,0.393333333333333,10,0.876402116402117,0.847513227513227,0.579047619047619,58,0.857460317460318,100,53,90
"10","HiCS","ion.csv",3.84,33.02,0.780811287477954,0.393333333333333,10,0.876084656084656,0.847795414462081,0.579047619047619,72,0.854215167548501,100,51,100
"11","CMI","ion.csv",106.81,39.41,0.834708994708994,0.554285714285714,5,0.875802469135802,0.863033509700176,0.591428571428572,13,0.892451499118165,100,86,10
"12","CMI","ion.csv",106.81,39.41,0.722292768959436,0.455238095238095,5,0.805167548500883,0.709241622574957,0.442857142857143,6,0.81384479717813,100,76,20
"13","CMI","ion.csv",106.81,39.41,0.722292768959436,0.467619047619048,5,0.781375661375662,0.749717813051146,0.48,8,0.796296296296295,100,71,30
"14","CMI","ion.csv",106.81,39.41,0.724832451499117,0.48,3,0.792063492063492,0.761181657848325,0.554285714285714,7,0.798253968253969,100,69,40
"15","CMI","ion.csv",106.81,39.41,0.733262786596122,0.467619047619048,3,0.798059964726631,0.766772486772487,0.554285714285714,6,0.802345679012347,100,68,50
"16","CMI","ion.csv",106.81,39.41,0.747195767195769,0.467619047619048,4,0.814091710758379,0.785149911816579,0.52952380952381,9,0.816613756613758,100,69,60
"17","CMI","ion.csv",106.81,39.41,0.763386243386245,0.455238095238095,4,0.846172839506172,0.803509700176367,0.52952380952381,6,0.843509700176367,100,72,70
"18","CMI","ion.csv",106.81,39.41,0.783350970017637,0.418095238095238,3,0.854567901234568,0.821340388007054,0.517142857142857,29,0.846419753086419,100,66,80
"19","CMI","ion.csv",106.81,39.41,0.792486772486773,0.418095238095238,4,0.84694885361552,0.824338624338625,0.517142857142857,8,0.860388007054675,100,66,90
"20","CMI","ion.csv",106.81,39.41,0.805784832451499,0.43047619047619,5,0.846313932980601,0.830123456790124,0.492380952380952,16,0.858324514991182,100,66,100
