"","algorithm","dataset","duationSS","durationLOF","AUC_sum","Rprecision_adj_sum","numberRemainingSpaces_sum","AUC_removedRedundant_sum","AUC_max","Rprecision_adj_max","numberRemainingSpaces_max","AUC_removedRedundant_max","totalNumberSubspaces","numberMaxScoreSubspaces","minPts","subsp1","subsp2","subsp3","subsp4","subsp5"
"1","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.849765258215962,0.652582159624413,86,0.960093896713615,0.846830985915493,0.652582159624413,90,0.957746478873239,100,12,10,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"2","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.859154929577465,0.47887323943662,76,0.987089201877934,0.785211267605634,0.131455399061033,85,0.924882629107981,100,18,20,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"3","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.865023474178404,0.652582159624413,72,0.994131455399061,0.906103286384977,0.47887323943662,89,0.983568075117371,100,19,30,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"4","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.869718309859155,0.652582159624413,78,0.976525821596244,0.842723004694836,0.131455399061033,91,0.944835680751174,100,16,40,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"5","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.863849765258216,0.47887323943662,77,0.976525821596244,0.764671361502347,0.305164319248826,86,0.917253521126761,100,15,50,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"6","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.875586854460094,0.47887323943662,84,0.938967136150235,0.651408450704225,0.305164319248826,89,0.796361502347418,100,19,60,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"7","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.860328638497652,0.47887323943662,68,0.934272300469484,0.827464788732394,0.652582159624413,91,0.875586854460094,100,15,70,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"8","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.879107981220657,0.652582159624413,85,0.922535211267606,0.79518779342723,0.652582159624413,80,0.948356807511737,100,15,80,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"9","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.883802816901408,0.652582159624413,93,0.911971830985915,0.852112676056338,0.652582159624413,98,0.869718309859155,100,16,90,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"10","HiCS","lymphonorm.csv",0.850000000000136,17.9099999999999,0.889671361502347,0.652582159624413,93,0.914319248826291,0.876173708920188,0.652582159624413,99,0.884389671361502,100,19,100,"[3,4]","[6,8,9]","[2,3,4]","[7,8,9]","[6,7]"
"11","CMI","lymphonorm.csv",6.46000000000004,20.1400000000001,0.960093896713615,0.652582159624413,97,0.967136150234742,0.751173708920188,0,77,0.934272300469484,100,34,10,"[8,10,15,16,17,18]","[8,10,12,13,15,17,18]","[10,11,15,16,17,18]","[10,11,12,13,15,17,18]","[8,10,11,12,13,15,18]"
"12","CMI","lymphonorm.csv",6.46000000000004,20.1400000000001,0.938967136150235,0.305164319248826,83,0.96830985915493,0.740023474178404,0,66,0.94131455399061,100,25,20,"[8,10,15,16,17,18]","[8,10,12,13,15,17,18]","[10,11,15,16,17,18]","[10,11,12,13,15,17,18]","[8,10,11,12,13,15,18]"
"13","CMI","lymphonorm.csv",6.46000000000004,20.1400000000001,0.935446009389671,0.305164319248826,80,0.969483568075117,0.759389671361502,0,71,0.950704225352113,100,25,30,"[8,10,15,16,17,18]","[8,10,12,13,15,17,18]","[10,11,15,16,17,18]","[10,11,12,13,15,17,18]","[8,10,11,12,13,15,18]"
"14","CMI","lymphonorm.csv",6.46000000000004,20.1400000000001,0.940140845070423,0.305164319248826,96,0.944835680751174,0.746478873239437,0,72,0.971830985915493,100,25,40,"[8,10,15,16,17,18]","[8,10,12,13,15,17,18]","[10,11,15,16,17,18]","[10,11,12,13,15,17,18]","[8,10,11,12,13,15,18]"
"15","CMI","lymphonorm.csv",6.46000000000004,20.1400000000001,0.946009389671362,0.305164319248826,93,0.957746478873239,0.820422535211268,0.131455399061033,80,0.921948356807512,100,27,50,"[8,10,15,16,17,18]","[8,10,12,13,15,17,18]","[10,11,15,16,17,18]","[10,11,12,13,15,17,18]","[8,10,11,12,13,15,18]"
